BIOGUIDE_ID;OFFICE;QUARTER;PROGRAM;CATEGORY;DATE;TRANSCODE;RECORDID;PAYEE;START DATE;END DATE;PURPOSE;AMOUNT;YEAR;RECIP (orig.)
A000055;HON. ROBERT B. ADERHOLT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0473729;DAVID L ANDRUKITIS INC;12/13/2016;12/13/2016;PRINTING & REPRODUCTION;27.5;2016;DAVID L ANDRUKITIS INC
A000055;HON. ROBERT B. ADERHOLT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.12.17;AP;E0475819;DAVID L ANDRUKITIS INC;11/28/2016;11/28/2016;PRINTING & REPRODUCTION;679.5;2016;DAVID L ANDRUKITIS INC
A000055;HON. ROBERT B. ADERHOLT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-HAGSTROMRPT;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;499;2016;CITI PCARD-HAGSTROMRPT
A000055;HON. ROBERT B. ADERHOLT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0484846;BSL GEM LASER EXPRESS LLC;10.01.16;12/31/2016;PRINTING & REPRODUCTION;140.28;2016;BSL GEM LASER EXPRESS LLC
A000055;HON. ROBERT B. ADERHOLT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0493124;ACCURATE WORD LLC;12/29/2016;12/29/2016;PRINTING & REPRODUCTION;874.3;2016;ACCURATE WORD LLC
A000055;HON. ROBERT B. ADERHOLT;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;E0497172;ACCURATE WORD LLC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;1112;2016;ACCURATE WORD LLC
A000371;HON. PETE AGUILAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/26/2017;AP;E0481629;ACCURATE WORD LLC;01.09.17;01.09.17;PRINTING & REPRODUCTION;99.9;2017;ACCURATE WORD LLC
A000371;HON. PETE AGUILAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/26/2017;AP;E0481637;ACCURATE WORD LLC;01.10.17;01.10.17;PRINTING & REPRODUCTION;79.9;2017;ACCURATE WORD LLC
A000371;HON. PETE AGUILAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0492598;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
A000371;HON. PETE AGUILAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.10.17;AP;E0494674;ACCURATE WORD LLC;2/24/2017;2/24/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
A000371;HON. PETE AGUILAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;01.03.17;01.03.17;PRINTING & REPRODUCTION;257.86;2017;PUBLIC PRINTER
A000371;HON. PETE AGUILAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;194.18;2017;PUBLIC PRINTER
A000371;HON. PETE AGUILAR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0474812;ACCURATE WORD LLC;12/22/2016;12/22/2016;PRINTING & REPRODUCTION;549.45;2016;ACCURATE WORD LLC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/23/2017;AP;E0478699;ACCURATE WORD LLC;01.04.17;01.04.17;PRINTING & REPRODUCTION;59.9;2017;ACCURATE WORD LLC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0479868;POLLOCK OFFICE MACHINE COMPANY INC;12.06.16;01.06.17;PRINTING & REPRODUCTION;6.37;2017;POLLOCK OFFICE MACHINE COMPANY INC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0486989;ACCURATE WORD LLC;1/18/2017;1/18/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/27/2017;AP;E0488539;POLLOCK OFFICE MACHINE COMPANY INC;01.06.17;02.06.17;PRINTING & REPRODUCTION;20.58;2017;POLLOCK OFFICE MACHINE COMPANY INC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/28/2017;AP;E0498134;POLLOCK OFFICE MACHINE COMPANY INC;02.06.17;03.03.17;PRINTING & REPRODUCTION;16.8;2017;POLLOCK OFFICE MACHINE COMPANY INC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0499951;ACCURATE WORD LLC;03.02.17;03.02.17;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/30/2017;1/30/2017;PRINTING & REPRODUCTION;291.18;2017;PUBLIC PRINTER
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.08.17;AP;E0474991;ACCURATE WORD LLC;12/21/2016;12/21/2016;PRINTING & REPRODUCTION;29.95;2016;ACCURATE WORD LLC
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/27/2017;AP;897452;PUBLIC PRINTER;11.07.16;11.07.16;PRINTING & REPRODUCTION;97.68;2016;PUBLIC PRINTER
A000372;HON. RICK W. ALLEN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/28/2017;AP;E0488563;CREATIVE FRANKING;12/16/2016;12/16/2016;PRINTING & REPRODUCTION;11500;2016;CREATIVE FRANKING
A000367;HON. JUSTIN A. AMASH;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-ALLEGRA MARKETING PRIN;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;19.83;2016;CITI PCARD-ALLEGRA MARKETING PRIN
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/17/2017;AP;E0479310;FUTURE COMPUTER TECHNOLOGIES INC;01.01.17;1/31/2017;PRINTING & REPRODUCTION;5;2017;FUTURE COMPUTER TECHNOLOGIES INC
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.03.17;AP;E0484663;ACCURATE WORD LLC;1/24/2017;1/24/2017;PRINTING & REPRODUCTION;59.95;2017;ACCURATE WORD LLC
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486921;ACCURATE WORD LLC;02.02.17;02.02.17;PRINTING & REPRODUCTION;59.95;2017;ACCURATE WORD LLC
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.09.17;01.09.17;PRINTING & REPRODUCTION;121.51;2017;PUBLIC PRINTER
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0493858;FUTURE COMPUTER TECHNOLOGIES INC;02.01.17;2/28/2017;PRINTING & REPRODUCTION;5;2017;FUTURE COMPUTER TECHNOLOGIES INC
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.10.17;AP;E0494918;ACCURATE WORD LLC;2/27/2017;2/27/2017;PRINTING & REPRODUCTION;59.95;2017;ACCURATE WORD LLC
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/25/2017;1/25/2017;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.05.17;AP;E0474672;FUTURE COMPUTER TECHNOLOGIES INC;12.01.16;12/31/2016;PRINTING & REPRODUCTION;5;2016;FUTURE COMPUTER TECHNOLOGIES INC
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;900647;CITI PCARD-FASTSIGNS;11/29/2016;12/28/2016;PRINTING & REPRODUCTION;509.19;2016;CITI PCARD-FASTSIGNS
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/15/2017;AP;902569;FUTURE COMPUTER TECHNOLOGIES INC;10.01.16;10/31/2016;PRINTING & REPRODUCTION;5;2016;FUTURE COMPUTER TECHNOLOGIES INC
A000369;HON. MARK E. AMODEI;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/17/2017;AP;904174;CITI PCARD-SUPERIOR LETTERPRESS;12/29/2016;01.02.17;PRINTING & REPRODUCTION;341.5;2017;CITI PCARD-SUPERIOR LETTERPRESS
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/13/2017;AP;E0479611;ACCURATE WORD LLC;01.03.17;01.03.17;PRINTING & REPRODUCTION;479.6;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0483415;ACCURATE WORD LLC;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;2271;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.01.17;AP;E0483417;ACCURATE WORD LLC;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;2136;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486926;ACCURATE WORD LLC;02.06.17;02.06.17;PRINTING & REPRODUCTION;359.7;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;E0488365;ACCURATE WORD LLC;02.08.17;02.08.17;PRINTING & REPRODUCTION;119.9;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/27/2017;AP;E0491334;ACCURATE WORD LLC;2/17/2017;2/17/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/27/2017;AP;E0491335;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0493407;ACCURATE WORD LLC;2/22/2017;2/22/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/17/2017;AP;E0496777;ACME MARKING PRODUCTS CORP;03.02.17;03.02.17;PRINTING & REPRODUCTION;61;2017;ACME MARKING PRODUCTS CORP
A000375;HON. JODEY C. ARRINGTON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/22/2017;AP;E0498536;ACCURATE WORD LLC;03.09.17;03.09.17;PRINTING & REPRODUCTION;139.9;2017;ACCURATE WORD LLC
A000373;HON. BRAD ASHFORD;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/27/2017;AP;E0481436;XEROX CORPORATION;9/21/2016;10/21/2016;PRINTING & REPRODUCTION;34.15;2016;XEROX CORPORATION
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/14/2017;AP;E0484685;ATTICUS MEDIA LLC;01.05.17;01.05.17;PRINTING & REPRODUCTION;7212.38;2017;ATTICUS MEDIA LLC
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.03.17;01.03.17;PRINTING & REPRODUCTION;388.36;2017;PUBLIC PRINTER
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/21/2017;AP;E0490019;ACCURATE WORD LLC;2/13/2017;2/13/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0494470;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/28/2017;AP;E0501810;MILSTEAD JAMES R.;03.03.17;03.03.17;PRINTING & REPRODUCTION;846;2017;MILSTEAD JAMES R.
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0475471;ACCURATE WORD LLC;11/14/2016;11/14/2016;PRINTING & REPRODUCTION;69.95;2016;ACCURATE WORD LLC
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0475477;ACCURATE WORD LLC;12/27/2016;12/27/2016;PRINTING & REPRODUCTION;39.95;2016;ACCURATE WORD LLC
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/19/2017;AP;E0480146;ACCURATE WORD LLC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;39.95;2016;ACCURATE WORD LLC
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;E0484679;ATTICUS MEDIA LLC;12/30/2016;12/30/2016;PRINTING & REPRODUCTION;8279.52;2016;ATTICUS MEDIA LLC
B001291;HON. BRIAN BABIN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.08.17;AP;E0494988;U.S. CAPITOL HISTORICAL SOCIETY;11/30/2016;11/30/2016;PRINTING & REPRODUCTION;600;2016;U.S. CAPITOL HISTORICAL SOCIETY
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/20/2017;AP;E0478624;ACCURATE WORD LLC;01.10.17;01.10.17;PRINTING & REPRODUCTION;419.65;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0481166;ACCURATE WORD LLC;1/16/2017;1/16/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/21/2017;AP;904237;DAVID L ANDRUKITIS INC;2/16/2017;2/16/2017;PRINTING & REPRODUCTION;97.5;2017;DAVID L ANDRUKITIS INC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/28/2017;AP;E0490338;ACCURATE WORD LLC;02.01.17;02.01.17;PRINTING & REPRODUCTION;1195;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;E0490337;ACCURATE WORD LLC;02.06.17;02.06.17;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.04.17;AP;E0490501;WOODWARD SVOBODA CHRISTINA L.;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;9.6;2017;WOODWARD SVOBODA CHRISTINA L.
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.09.17;AP;E0493536;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;69.95;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/27/2017;AP;E0499317;ACCURATE WORD LLC;3/13/2017;3/13/2017;PRINTING & REPRODUCTION;787.45;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/27/2017;AP;E0499321;ACCURATE WORD LLC;03.02.17;03.02.17;PRINTING & REPRODUCTION;311;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/29/2017;AP;E0499315;ACCURATE WORD LLC;03.09.17;03.09.17;PRINTING & REPRODUCTION;139.9;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0500636;ACCURATE WORD LLC;3/17/2017;3/17/2017;PRINTING & REPRODUCTION;349.75;2017;ACCURATE WORD LLC
B001298;HON. DON BACON;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/30/2017;AP;E0500637;ACCURATE WORD LLC;3/17/2017;3/17/2017;PRINTING & REPRODUCTION;109.95;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0480490;ACCURATE WORD LLC;01.11.17;01.11.17;PRINTING & REPRODUCTION;79.9;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0480504;ACCURATE WORD LLC;01.10.17;01.10.17;PRINTING & REPRODUCTION;239.7;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/25/2017;AP;E0480506;ACCURATE WORD LLC;01.03.17;01.03.17;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;901188;ACCURATE WORD LLC;1/17/2017;1/17/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;901190;ACCURATE WORD LLC;1/23/2017;1/23/2017;PRINTING & REPRODUCTION;1134;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.08.17;AP;901503;ACCURATE WORD LLC;1/23/2017;1/23/2017;PRINTING & REPRODUCTION;258.65;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.02.17;AP;902608;ACCURATE WORD LLC;02.01.17;02.01.17;PRINTING & REPRODUCTION;156.9;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;906646;ACCURATE WORD LLC;2/20/2017;2/20/2017;PRINTING & REPRODUCTION;244.95;2017;ACCURATE WORD LLC
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-NEWSPAPER/ONLINE PURCH;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;206;2017;CITI PCARD-NEWSPAPER/ONLINE PURCH
B001299;HON. JIM BANKS;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/21/2017;AP;912200;CITI PCARD-THE AMERICAN INTEREST;1/29/2017;2/28/2017;PRINTING & REPRODUCTION;48;2017;CITI PCARD-THE AMERICAN INTEREST
B001269;HON. LOU BARLETTA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.07.17;AP;E0485831;ACCURATE WORD LLC;1/19/2017;1/19/2017;PRINTING & REPRODUCTION;74.95;2017;ACCURATE WORD LLC
B001269;HON. LOU BARLETTA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.03.17;01.03.17;PRINTING & REPRODUCTION;48.84;2017;PUBLIC PRINTER
B001269;HON. LOU BARLETTA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/16/2017;AP;902657;PUBLIC PRINTER;01.11.17;01.11.17;PRINTING & REPRODUCTION;96.32;2017;PUBLIC PRINTER
B001269;HON. LOU BARLETTA;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;3/31/2017;AP;912662;PUBLIC PRINTER;1/18/2017;1/18/2017;PRINTING & REPRODUCTION;388.36;2017;PUBLIC PRINTER
B001282;HON. ANDY BARR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0489321;ACCURATE WORD LLC;2/14/2017;2/14/2017;PRINTING & REPRODUCTION;115;2017;ACCURATE WORD LLC
B001282;HON. ANDY BARR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0489324;ACCURATE WORD LLC;2/15/2017;2/15/2017;PRINTING & REPRODUCTION;29.95;2017;ACCURATE WORD LLC
B001282;HON. ANDY BARR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0489326;ACCURATE WORD LLC;2/14/2017;2/14/2017;PRINTING & REPRODUCTION;210;2017;ACCURATE WORD LLC
B001282;HON. ANDY BARR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0489327;ACCURATE WORD LLC;02.10.17;02.10.17;PRINTING & REPRODUCTION;186;2017;ACCURATE WORD LLC
B001282;HON. ANDY BARR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/23/2017;AP;E0489329;ACCURATE WORD LLC;02.09.17;02.09.17;PRINTING & REPRODUCTION;359.55;2017;ACCURATE WORD LLC
B001282;HON. ANDY BARR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;01.06.17;AP;E0473144;OFFICIAL COMMUNICATION STRATEGIES;12/20/2016;12/20/2016;PRINTING & REPRODUCTION;26200.46;2016;OFFICIAL COMMUNICATION STRATEGIES
B001282;HON. ANDY BARR;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;1/27/2017;AP;E0481443;ACCURATE WORD LLC;12/28/2016;12/28/2016;PRINTING & REPRODUCTION;760;2016;ACCURATE WORD LLC
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.06.17;AP;E0484835;ACCURATE WORD LLC;01.03.17;01.03.17;PRINTING & REPRODUCTION;179.85;2017;ACCURATE WORD LLC
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;02.10.17;AP;E0486540;ACCURATE WORD LLC;1/25/2017;1/25/2017;PRINTING & REPRODUCTION;39.95;2017;ACCURATE WORD LLC
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486936;ACCURATE WORD LLC;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;99.9;2017;ACCURATE WORD LLC
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/13/2017;AP;E0486939;ACCURATE WORD LLC;1/27/2017;1/27/2017;PRINTING & REPRODUCTION;249;2017;ACCURATE WORD LLC
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;2/15/2017;AP;E0486937;CHRISTINE BJERKE;1/26/2017;1/26/2017;PRINTING & REPRODUCTION;150;2017;CHRISTINE BJERKE
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0493547;ACCURATE WORD LLC;2/15/2017;2/15/2017;PRINTING & REPRODUCTION;1345.55;2017;ACCURATE WORD LLC
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.06.17;AP;E0493550;ACCURATE WORD LLC;2/16/2017;2/16/2017;PRINTING & REPRODUCTION;339.8;2017;ACCURATE WORD LLC
B001300;HON. NANETTE DIAZ BARRAGAN;2017Q1;OFFICIAL EXPENSES OF MEMBERS;PRINTING AND REPRODUCTION;03.07.17;AP;E0493545;ACCURATE WORD LLC;02.09.17;02.09.17;PRINTING & REPRODUCTION;49.95;2017;ACCURATE WORD LLC
